"RHDI (ranking human development index, 2019)","HDI (human development index value, 2019)","LE (life expectancy at birth, years, 2019)","EYS (expected years of schooling, years, 2019)","MYS (mean years of schooling, years, 2019)",GNI (gross national income per capita 2019 (2017 PPP $),"TP (total population, millions, 2019)","TUP (total urban population, %, 2019)","RPAE (rural population with access to electricity, %, 2018)","CDEP (carbon dioxide emissions production per capita, tonnes, 2018)","RLI (red list index value, 2019)",Continent,"GDIV (gender development index value, 2019)","GIIV (gender inequality index value, 2019)","IHDI (gender inequality index value, 2019)","ILE (inequality in life expectancy, %, 2015-2020)","IE (inequality in education, %, 2019)","II (inequality in income, %, 2019)","SSP (share of seats in parliament, % held by women, 2019)","MA (median age, years, 2020)","CHE (current health expenditure, % of GDP)","GEE (government expenditure on education, % of GDP, 2013-2018)","PPP (physicians per 10000 people, 2010-2018)","HB (hospital beds per 10000 people, 2010-2019)","VE (vulnerable employment, % of total employment, 2019)","WAFI (Women with account at financial institution or with mobile money-service provider, % of female population ages 15 and older, 2017)","CDE (Carbon dioxide emissions per unit of GDP, kg per 2010 US$ of GDP)","FA (forest area, % of total land area, 2016)","FAC (forest area change, %, 1990/2016)","DMC (domestic material consumption per capita, tonnes, 2017)","SLF (skilled labour force, % of labour force, 2010-2019)","RDE (research and development expenditure, % of GDP, 2014-2018)"
40,0.8539999999999999,75.12999999999998,16.13575,10.22517,47495.42697,34.268529,84.09999999999998,100.0,18.43475649,0.90657,Asia,0.8960899029569533,0.252,0.6202777777777779,6.4,18.0,19.29900227749999,19.86754967,31.797,5.230253,3.860831315789474,26.117,22.4,3.016,58.17010498,0.33664,0.45448000000000005,0.0,24.99726,58.66,0.81516
42,0.852,77.29,16.254819999999995,9.5192,42521.70451,1.641164,89.4,100.0,19.78972198,0.75102,Asia,0.921716932482197,0.21200000000000002,0.6202777777777779,5.5,22.7,19.29900227749999,18.75,32.456,4.748105,2.32721,9.257,17.399999999999995,1.081,75.40673828,0.47092999999999996,0.78406,145.9102569,28.58024,19.27,0.10116
43,0.8509999999999998,80.18,16.44755,10.58295,23261.29726,18.952035,87.59999999999998,100.0,4.58518161,0.76256,South America,0.9627589312244504,0.24699999999999997,0.709,6.3,10.386,31.144998,22.72727273,35.339,8.98351,5.40274,25.912,20.6,22.694,71.27378845,0.22286,24.25693,18.16681374,41.78723,71.2648,0.35518
43,0.8509999999999998,78.48999999999998,15.22672,11.44932,28069.84837,4.130299,57.2,100.0,4.475045141,0.89663,Europe,0.9900189694790631,0.11600000000000002,0.783,4.3,4.67412,14.67226,20.52980132,44.291,6.789134,4.55695,29.996,55.4,7.271,82.69694519,0.18042999999999998,34.35311,3.82066859,10.10998,91.7963,0.97489
45,0.8480000000000001,80.23,12.03595,9.73144,92418.23036,2.832071,99.2,100.0,37.97087518,0.82126,Asia,1.0296748037406311,0.185,0.6202777777777779,5.7,11.8,19.29900227749999,9.756097561,32.264,2.607429,2.86383,24.852,12.5,0.144,61.56953049,0.26497,0.0,0.0,52.51733,43.87,0.50729
46,0.845,76.67,17.6542,10.94060102,21190.17661,44.780675,92.0,100.0,4.407717113,0.8490199999999998,South America,0.9934519494449825,0.328,0.729,8.599999999999998,5.954049975,25.15935239,39.87730061,31.532,9.124315,5.46223,39.901,49.9,21.805,50.75725174,0.2233,9.79841,-22.92932711,16.06623,66.9257,0.54152
47,0.8379999999999999,75.86,14.31391,9.14,63965.09279,0.433296,77.9,100.0,18.48527728,0.8605699999999998,Asia,0.9807064034458568,0.255,0.6202777777777779,7.599999999999999,18.071931588695648,19.29900227749999,9.090909091,32.308,2.373208,4.42541,16.09,28.5,6.035,53.02450529446666,0.22247,72.10626,-7.99031477,22.93296,78.7694,0.27764
48,0.829,76.87999999999998,14.99968,11.58926489,21399.24713,0.6279880000000001,67.2,100.0,3.199062135,0.80555,Europe,0.9661920538769244,0.10900000000000001,0.749,3.6,7.81501,16.92405,28.39506173,38.8,8.281743210526317,4.982562857142858,27.557,38.6,13.257,67.57224274,0.22164,61.48699,32.1086262,13.38613,92.0116,0.36763
49,0.8279999999999997,76.04999999999998,14.25988,11.0708,29497.23164,19.364558,54.1,100.0,3.796794174,0.92973,Europe,0.9913810337527182,0.276,0.73,6.3,5.33215,22.70669,19.56989247,43.171,5.157888,2.97411,29.807,68.90000000000002,23.722,53.59091949,0.15834,30.12083,8.432145512,11.68359,81.6709,0.5051
50,0.8259999999999998,73.93,15.7967036,12.49143,19316.97453,0.018001,80.5,100.0,13.16747641,0.72744,Oceania,0.9634235119456194,0.33816666666666667,0.658,13.469999999999999,1.9,21.06517,13.79310345,25.8853,11.961162,5.537004285714285,14.205,21.116666666666664,45.262625,99.26793671,0.264515,87.60868999999998,3.849879875666667,1.21251,92.5285,1.0903333333333334
51,0.8249999999999998,73.59999999999998,15.61293,11.8949,22857.46082,18.551428,57.5,100.0,17.56514792,0.8674800000000001,Asia,0.9802664241755157,0.19,0.766,7.7,3.2,10.3,22.07792208,30.682,3.125362,2.75095,39.8,60.6,23.154,60.28655243,0.60105,1.22569,-3.302162478,29.13647,80.79999999999998,0.12286
52,0.8239999999999998,72.58,15.02735,12.17244258,26157.04711,145.87226,74.59999999999998,100.0,11.73842586,0.95389,Europe,1.006650897173894,0.225,0.74,7.1,4.196,18.752,16.4516129,39.586,5.344578,3.74303,40.139,71.2,5.35,76.13137054,0.47641999999999995,49.75856,0.814678533,16.86484,96.0979,0.98988
53,0.8229999999999998,74.79,15.40479,12.30584324,18546.48713,9.452409,79.0,100.0,6.924653776,0.9704599999999999,Europe,1.0066083723479982,0.118,0.771,4.4,3.7,10.8,34.93975904,40.335,5.925786,4.79499,51.905,108.3,3.287,81.33817290999998,0.3383,42.63011,11.14512599,17.52232,98.63,0.60817
